Band,url,Years,Recorded,Live
158th Infantry Band U.S. Army,158.html,1918,Yes,Yes
Abe Lyman and his Orchestra,abelymano.html,1938,Yes,Yes
Abe Lyman's California Ambassador Hotel Orchestra,abelymancaho.html,1923 to 1937,Yes,Yes
Abe Lyman's California Orchestra,abelymancals.html,1939 to 1941,Yes,Yes
Abe Small and His Melody Boys,abesmall.html,1922 to 1923,Yes,Yes
Adolfo R. Avilés Jazz Band,aviles.html,1927 to 1928,Yes,?
Adrian and his Tap Room Gang,adrianstrg.html,1934,Yes,Yes
Adrian Rollini and his Orchestra,rollinio.html,1923 to 1934,Yes,Yes
Adrian Rollini Quintette,rolliniquin.html,1936 and 1939,Yes,?
Adrian Rollini Trio,rollinitrio.html,1936 to 1940,Yes,Yes
Adrian's Ramblers,adriansramb.html,1934,Yes,?
Al Hammett and his Ambassadors' Orchestra,alhammett.html,1926,Yes,Yes
Al Siegel's Orchestra,aso.html,1924,Yes,?
Al Turks's Orchestra,turkso.html,1926,Yes,Yes
Al Turks's Princess Orchestra,turksprincess.html,1924,Yes,Yes
Albert E. Short's Tivoli Syncopators,tivoli.html,1923,Yes,?
Albert Wynn and his Gut Bucket Five,wynngut.html,1926 and 1928,Yes,?
Alex Hill and his Orchestra,hillo.html,1929,Yes,?
Alex Hill and his Sepians,sepians.html,1934,Yes,Yes
Alex Hyde and his New York Orchestra,alexhydenyo.html,1924,Yes,Yes
Alex Hyde's Original New Yorker Jazz Band,alexhydeny.html,1925,Yes,Yes
Alex Jackson's Plantation Orchestra,alexjackson.html,1927 to 1931,Yes,Yes
All Star Trio,allstartrio.html,1918 to 1922,Yes,Yes
All Star Trio and their Orchestra,allstartrioo.html,1921 to 1922,Yes,?
Andy Kirk and his Twelve Clouds Of Joy,cloudsofjoy.html,1929 to ?,Yes,Yes
Andy Preer and the Cotton Club Orchestra,preer.html,1927,Yes,Yes
Andy Tipaldi and his Orchestra,tipaldio.html,1924,Yes,Yes
Anthony Parenti's Famous Melody Boys,parenti.html,1925,Yes,Yes
Anton Lada's Louisiana Ladds,alll.html,1925 to ?,Yes,Yes
Arcadia Peacock Orchestra of St. Louis,arcadiapeacock.html,1923 to 1925,Yes,Yes
Arcadian Serenaders,arcadian.html,1924 to 1925,Yes,Yes
Arkansas Travelers,arkansastravelers.html,1924 to 1927,Yes,Yes
Armani-C�spito Jazz Band,armanicospito.html,1928 to 1932,Yes,Yes
Arnold Frank and his Roger's Cafe Orchestra,frank.html,1927,Yes,Yes
Art Hickman and his Orchestra,hickman.html,1913 to 1930,Yes,Yes
Art Hickman's New York London Five,newyorklondon.html,1920 to 1921,Yes,Yes
Art Landry and his Call Of The North Orchestra,landrycono.html,1923,Yes,Yes
Art Landry and his Orchestra,landryo.html,1924 to 1926,Yes,Yes
Arthur Briggs' Savoy Syncopators Orchestra,briggs.html,1922 to 1928,Yes,Yes
Arthur Gibbs and his Gang,gibbsgang.html,1923,Yes,Yes
Arthur Schutt and his Orchestra,schutto.html,1929 to 1930,Yes,?
Arthur Sims Creole Roof Orchestra,sims.html,1926,Yes,Yes
Austin and his Musical Ambassadors,ama.html,1926,Yes,?
Baby Dodds Jazz Four,babydoddsjazz4.html,1945,Yes,Yes
Bailey's Dixie Dudes,bailysdixedudes.html,1924,Yes,No
Bailey's Lucky Seven,lucky7.html,1921 to 1926,Yes,No
Bal Tabarin Jazz Orchestra,baltaberin.html,1919,Yes,Yes
Ban-Joe Wallace's Orchestra,bwo.html,1916 to 1922,Yes,Yes
Barbecue Joe and his Hot Dogs,hotdogs.html,1930,Yes,?
Barney Bigard and his Jazzopators,bigardo.html,1938 to 1942,Yes,No
Barney Bigard and his Orchestra,jazzopators.html,1936 to 1940,Yes,No
Barney Bigard Sextet,bigardsextet.html,1935,Yes,No
Barney Zeeman's Kentucky Kardinals,kentuckykardinals.html,1926,Yes,?
Barrel House Five Orchestra,Barrel5.html,1929,Yes,No
Beale Street Washboard Band,bealestreet.html,1929,Yes,No
Ben Pollack and his Californians,pollackcalif.html,1924 to 1928,Yes,Yes
Ben Pollack and his Orchestra,pollacko.html,1930 to 1938,Yes,Yes
Ben Pollack and His Park Central Orchestra,pollackpco.html,1928 to 1929,Yes,?
Ben Pollack and His Pick-A-Rib Boys,pollackparb.html,1937 to 1938,Yes,?
Ben Tobier and his California Cyclones,tobier.html,1930,Yes,?
Ben's Bad Boys,bensbadboys.html,1929,Yes,?
Bennett's Swamplanders,bennett.html,1930,Yes,?
Bennie Krueger and his Orchestra,krueger.html,1920 to 1934,Yes,Yes
Bennie Krueger's Melody Syncopators,kruegerms.html,1920,Yes,Yes
Bennie Washington's Six Aces,bw6a.html,1925,Yes,No
Benny Goodman's Boys,bgb.html,1929,Yes,No
Benson Orchestra of Chicago,benson.html,1921 to 1925,Yes,Yes
Bernie Schultz and his Crescent Orchestra,schultz.html,1923 to 1928,Yes,Yes
Bert Cohan and his Orchestra,cohan.html,1924,Yes,?
Bessie Brown and her Jazz Band,bbjazzband.html,1926 to 1928,Yes,?
Bessie Smith accompanied by Buck and his Band,smithbuck.html,1933,Yes,No
Bessie Smith accompanied by Henderson's Hot Six,smithhh6.html,1925,Yes,No
Bessie Smith accompanied by her Down Home Trio,smithdownhome.html,1923,Yes,No
Bessie Smith and her Band,smithband.html,1925 and 1927,Yes,No
Bessie Smith and her Blue Boys,smithblueboys.html,1925 and 1927,Yes,No
Beverly Syncopators,beverly.html,1928,Yes,?
Bill Brown and his Brownies,bbb.html,1927 to 1928,Yes,?
Bill Haid's Cubs,cubs.html,1928,Yes,Yes
Bill Johnson's Louisiana Jug Band,ljug.html,1929,Yes,?
Billy Arnold et son Orchestre,arnoldo.html,1930 to 1931,Yes,Yes
Billy Arnold's Novelty Jazz Band,banb.html,1920 to 1923,Yes,Yes
Birmingham Bluetette,bluetette.html,1926,Yes,Yes
Birmingham Jug Band,bjb.html,1930,Yes,?
Bix Beiderbecke and his Gang,bixgang.html,1927,Yes,?
Bix Beiderbecke and his Orchestra,bixo.html,1930,Yes,?
Bix Beiderbecke and his Rhythm Jugglers,jugglers.html,1925,Yes,No
Black Birds Of Paradise,blackbirds.html,1927,Yes,Yes
Black Pirates,pirates.html,1928,Yes,?
Blake's Jazzone Orchestra,jazzone.html,1917,Yes,Yes
Blind Willie Dunn and his Gin Bottle Four,gin.html,1929,Yes,No
Blind Willie Dunn and Lonnie Johnson,dunnjohnson.html,1928 to 1929,Yes,No
Blue Ribbon Syncopators,blueribbon.html,1925 to 1927,Yes,Yes
Blue Steele and his Orchestra,blsteele.html,1927 to 1930,Yes,Yes
Blythe and Burton,blytheandburton.html,1928,Yes,?
Blythe and Clark,blytheandclark.html,1931,Yes,?
Blythe's Owls,blythesowls.html,1927,Yes,No
Blythe's Sinful Five,bs5.html,1926,No,?
Blythe's Washboard Band,bwash.html,1926,Yes,?
Blythe's Washboard Ragamuffins,blyther.html,1926,Yes,?
Bobbie Sax and his Orchestra,bobbysax.html,1930s,Yes,?
Bogan's Birmingham Busters,bogansbb.html,1937 to ?,Yes,Yes
Borbee's Jass Band,borbee.html,1917,Yes,Yes
Boston Orchestra,bostono.html,1925,Yes,?
Boyd Senter and His Senterpedes,senterpedes.html,1929 to 1930,Yes,?
Boyd Senter Trio,sentertrio.html,1928,Yes,?
Brady's Clarinet Band,brady.html,1927,Yes,?
Brown and Terry's Jazzola Boys,jazzolaboys.html,1921,Yes,?
Brownlee's Orchestra of New Orleans,brownlee.html,1920 to 1930,Yes,Yes
Bubber Miley and his Mileage Makers,bmmm.html,1930,Yes,Yes
Bucktown Five,buck5.html,1924,Yes,?
Bud Freeman and his Orchestra,bfo.html,1928,Yes,?
Buddy Christian's Creole Five,creolefive.html,1926,Yes,?
Buddy Christian's Jazz Rippers,jazzrippers.html,1926,Yes,?
Busse's Buzzards,bussebuzz.html,1925,Yes,Yes
Buster Bailey and his Rhythm Busters ,bbrb.html,NA,NA,NA
Buster Bailey and his Seven Chocolate Dandies,bb7cd.html,1934,Yes,?
Buster Bailey and his Sextet,bbsextet.html,1940,Yes,?
California Poppies,poppies.html,1923,Yes,Yes
California Ramblers,caramblers.html,?,Yes,Yes
Californiacs,californiacs.html,1925,Yes,?
Cannon's Jug Stompers,cjs.html,1928 to 1930,Yes,Yes
Carl Kress and Dick Mcdonough,kressmcdonough.html,1934 and 1937,Yes,No
Carlyle Stevenson's Bon Ton Orchestra,bonton.html,1925,Yes,Yes
Carlyle Stevenson's El Patio Orchestra,elpatio.html,1925,Yes,Yes
